fold,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,f1
1,5.0,sqrt,2,1,True,0.562833824633635
1,5.0,sqrt,5,1,True,0.5946885097076966
1,5.0,sqrt,10,1,True,0.5759398619103822
1,5.0,sqrt,2,2,True,0.5654947420074667
1,5.0,sqrt,5,2,True,0.5884460942932077
1,5.0,sqrt,10,2,True,0.5753617396237244
1,5.0,sqrt,2,5,True,0.554527016014615
1,5.0,sqrt,5,5,True,0.554527016014615
1,5.0,sqrt,10,5,True,0.554527016014615
1,5.0,sqrt,2,10,True,0.592000002723952
1,5.0,sqrt,5,10,True,0.592000002723952
1,5.0,sqrt,10,10,True,0.592000002723952
1,5.0,log2,2,1,True,0.35250526243070335
1,5.0,log2,5,1,True,0.3367894187539474
1,5.0,log2,10,1,True,0.3382000453629684
1,5.0,log2,2,2,True,0.36101939786780146
1,5.0,log2,5,2,True,0.34034502685268136
1,5.0,log2,10,2,True,0.33764252956569346
1,5.0,log2,2,5,True,0.33896264287427724
1,5.0,log2,5,5,True,0.33896264287427724
1,5.0,log2,10,5,True,0.33896264287427724
1,5.0,log2,2,10,True,0.3257467588738624
1,5.0,log2,5,10,True,0.3257467588738624
1,5.0,log2,10,10,True,0.3257467588738624
1,5.0,0.1,2,1,True,0.6610651909496269
1,5.0,0.1,5,1,True,0.6325810119161651
1,5.0,0.1,10,1,True,0.6862834942390311
1,5.0,0.1,2,2,True,0.649496768725543
1,5.0,0.1,5,2,True,0.6628928616444323
1,5.0,0.1,10,2,True,0.6640583271113318
1,5.0,0.1,2,5,True,0.6335137556117786
1,5.0,0.1,5,5,True,0.6335137556117786
1,5.0,0.1,10,5,True,0.6335137556117786
1,5.0,0.1,2,10,True,0.6047018105828665
1,5.0,0.1,5,10,True,0.6047018105828665
1,5.0,0.1,10,10,True,0.6047018105828665
1,5.0,0.25,2,1,True,0.7918353529862443
1,5.0,0.25,5,1,True,0.7820550391891183
1,5.0,0.25,10,1,True,0.795903455739951
1,5.0,0.25,2,2,True,0.778452346018446
1,5.0,0.25,5,2,True,0.7781058619043933
1,5.0,0.25,10,2,True,0.798378429538121
1,5.0,0.25,2,5,True,0.7870522795438851
1,5.0,0.25,5,5,True,0.7870522795438851
1,5.0,0.25,10,5,True,0.7870522795438851
1,5.0,0.25,2,10,True,0.7506791356766144
1,5.0,0.25,5,10,True,0.7506791356766144
1,5.0,0.25,10,10,True,0.7506791356766144
1,5.0,0.5,2,1,True,0.8091977628375533
1,5.0,0.5,5,1,True,0.8180087237961814
1,5.0,0.5,10,1,True,0.8082584860062758
1,5.0,0.5,2,2,True,0.8123238313046605
1,5.0,0.5,5,2,True,0.8123211044570915
1,5.0,0.5,10,2,True,0.8135216302367392
1,5.0,0.5,2,5,True,0.8117541035389128
1,5.0,0.5,5,5,True,0.8117541035389128
1,5.0,0.5,10,5,True,0.8117541035389128
1,5.0,0.5,2,10,True,0.7967767400427137
1,5.0,0.5,5,10,True,0.7967767400427137
1,5.0,0.5,10,10,True,0.7967767400427137
1,10.0,sqrt,2,1,True,0.7660235334608038
1,10.0,sqrt,5,1,True,0.7676411462819006
1,10.0,sqrt,10,1,True,0.7422925023440553
1,10.0,sqrt,2,2,True,0.7833066084471962
1,10.0,sqrt,5,2,True,0.7683707421576373
1,10.0,sqrt,10,2,True,0.7466517031025741
1,10.0,sqrt,2,5,True,0.729518372242693
1,10.0,sqrt,5,5,True,0.729518372242693
1,10.0,sqrt,10,5,True,0.729518372242693
1,10.0,sqrt,2,10,True,0.7039954291156532
1,10.0,sqrt,5,10,True,0.7039954291156532
1,10.0,sqrt,10,10,True,0.7039954291156532
1,10.0,log2,2,1,True,0.5828883950620767
1,10.0,log2,5,1,True,0.5564958507373817
1,10.0,log2,10,1,True,0.5785315994131658
1,10.0,log2,2,2,True,0.5801047762346339
1,10.0,log2,5,2,True,0.5579461838286647
1,10.0,log2,10,2,True,0.5549780975854002
1,10.0,log2,2,5,True,0.5376225809897698
1,10.0,log2,5,5,True,0.5376225809897698
1,10.0,log2,10,5,True,0.5376225809897698
1,10.0,log2,2,10,True,0.473085118843632
1,10.0,log2,5,10,True,0.473085118843632
1,10.0,log2,10,10,True,0.473085118843632
1,10.0,0.1,2,1,True,0.8078616363978185
1,10.0,0.1,5,1,True,0.8081377837509471
1,10.0,0.1,10,1,True,0.8164336828775927
1,10.0,0.1,2,2,True,0.8133635257502835
1,10.0,0.1,5,2,True,0.7997324757588186
1,10.0,0.1,10,2,True,0.8050194895977117
1,10.0,0.1,2,5,True,0.7916442703861684
1,10.0,0.1,5,5,True,0.7916442703861684
1,10.0,0.1,10,5,True,0.7916442703861684
1,10.0,0.1,2,10,True,0.7425166550361797
1,10.0,0.1,5,10,True,0.7425166550361797
1,10.0,0.1,10,10,True,0.7425166550361797
1,10.0,0.25,2,1,True,0.836873417778411
1,10.0,0.25,5,1,True,0.8423129843684858
1,10.0,0.25,10,1,True,0.8216568582300228
1,10.0,0.25,2,2,True,0.8445077225064939
1,10.0,0.25,5,2,True,0.8363894228136957
1,10.0,0.25,10,2,True,0.8186056743907931
1,10.0,0.25,2,5,True,0.8312399857033472
1,10.0,0.25,5,5,True,0.8312399857033472
1,10.0,0.25,10,5,True,0.8312399857033472
1,10.0,0.25,2,10,True,0.7828909967564505
1,10.0,0.25,5,10,True,0.7828909967564505
1,10.0,0.25,10,10,True,0.7828909967564505
1,10.0,0.5,2,1,True,0.8519287240170416
1,10.0,0.5,5,1,True,0.8444087651495804
1,10.0,0.5,10,1,True,0.8472844290948451
1,10.0,0.5,2,2,True,0.8419525745908729
1,10.0,0.5,5,2,True,0.841982302590041
1,10.0,0.5,10,2,True,0.8435543501172559
1,10.0,0.5,2,5,True,0.8389444027235035
1,10.0,0.5,5,5,True,0.8389444027235035
1,10.0,0.5,10,5,True,0.8389444027235035
1,10.0,0.5,2,10,True,0.8190071451155443
1,10.0,0.5,5,10,True,0.8190071451155443
1,10.0,0.5,10,10,True,0.8190071451155443
1,20.0,sqrt,2,1,True,0.7615569337231124
1,20.0,sqrt,5,1,True,0.7805723970246919
1,20.0,sqrt,10,1,True,0.8005136086903402
1,20.0,sqrt,2,2,True,0.7896087133494871
1,20.0,sqrt,5,2,True,0.7907588684963397
1,20.0,sqrt,10,2,True,0.7706129482254557
1,20.0,sqrt,2,5,True,0.7521127619694902
1,20.0,sqrt,5,5,True,0.7521127619694902
1,20.0,sqrt,10,5,True,0.7521127619694902
1,20.0,sqrt,2,10,True,0.7133480888198638
1,20.0,sqrt,5,10,True,0.7133480888198638
1,20.0,sqrt,10,10,True,0.7133480888198638
1,20.0,log2,2,1,True,0.6401609918569614
1,20.0,log2,5,1,True,0.6870965795890345
1,20.0,log2,10,1,True,0.6305869174157315
1,20.0,log2,2,2,True,0.617343694416115
1,20.0,log2,5,2,True,0.6138638868987117
1,20.0,log2,10,2,True,0.6359937481152107
1,20.0,log2,2,5,True,0.5918366860602815
1,20.0,log2,5,5,True,0.5918366860602815
1,20.0,log2,10,5,True,0.5918366860602815
1,20.0,log2,2,10,True,0.5315542421163809
1,20.0,log2,5,10,True,0.5315542421163809
1,20.0,log2,10,10,True,0.5315542421163809
1,20.0,0.1,2,1,True,0.8044493861025112
1,20.0,0.1,5,1,True,0.8312731859054561
1,20.0,0.1,10,1,True,0.8242964776004167
1,20.0,0.1,2,2,True,0.8098062715384702
1,20.0,0.1,5,2,True,0.8054462002334308
1,20.0,0.1,10,2,True,0.8030288044902768
1,20.0,0.1,2,5,True,0.8107710522976577
1,20.0,0.1,5,5,True,0.8107710522976577
1,20.0,0.1,10,5,True,0.8107710522976577
1,20.0,0.1,2,10,True,0.7571450317786302
1,20.0,0.1,5,10,True,0.7571450317786302
1,20.0,0.1,10,10,True,0.7571450317786302
1,20.0,0.25,2,1,True,0.8399536478182963
1,20.0,0.25,5,1,True,0.8350984236619803
1,20.0,0.25,10,1,True,0.8394221141126785
1,20.0,0.25,2,2,True,0.8261701860113335
1,20.0,0.25,5,2,True,0.8412681807544834
1,20.0,0.25,10,2,True,0.8282570665860408
1,20.0,0.25,2,5,True,0.8329600996744194
1,20.0,0.25,5,5,True,0.8329600996744194
1,20.0,0.25,10,5,True,0.8329600996744194
1,20.0,0.25,2,10,True,0.7889416567041085
1,20.0,0.25,5,10,True,0.7889416567041085
1,20.0,0.25,10,10,True,0.7889416567041085
1,20.0,0.5,2,1,True,0.8497905242168409
1,20.0,0.5,5,1,True,0.8399448990627005
1,20.0,0.5,10,1,True,0.8402667552238698
1,20.0,0.5,2,2,True,0.836355388000336
1,20.0,0.5,5,2,True,0.8399608284863463
1,20.0,0.5,10,2,True,0.8393253737904244
1,20.0,0.5,2,5,True,0.8305725414176207
1,20.0,0.5,5,5,True,0.8305725414176207
1,20.0,0.5,10,5,True,0.8305725414176207
1,20.0,0.5,2,10,True,0.8140390391389134
1,20.0,0.5,5,10,True,0.8140390391389134
1,20.0,0.5,10,10,True,0.8140390391389134
1,,sqrt,2,1,True,0.7422428360640303
1,,sqrt,5,1,True,0.78152127150046
1,,sqrt,10,1,True,0.7887379376830859
1,,sqrt,2,2,True,0.7886661075586698
1,,sqrt,5,2,True,0.7911745645411818
1,,sqrt,10,2,True,0.7788018292160176
1,,sqrt,2,5,True,0.7521076307921017
1,,sqrt,5,5,True,0.7521076307921017
1,,sqrt,10,5,True,0.7521076307921017
1,,sqrt,2,10,True,0.7133480888198638
1,,sqrt,5,10,True,0.7133480888198638
1,,sqrt,10,10,True,0.7133480888198638
1,,log2,2,1,True,0.6203970424983524
1,,log2,5,1,True,0.6751692398764104
1,,log2,10,1,True,0.6615543219953943
1,,log2,2,2,True,0.6308446644544056
1,,log2,5,2,True,0.6372551251984317
1,,log2,10,2,True,0.63422714815195
1,,log2,2,5,True,0.5946564808088304
1,,log2,5,5,True,0.5946564808088304
1,,log2,10,5,True,0.5946564808088304
1,,log2,2,10,True,0.5314990452250308
1,,log2,5,10,True,0.5314990452250308
1,,log2,10,10,True,0.5314990452250308
1,,0.1,2,1,True,0.8038515728242194
1,,0.1,5,1,True,0.8257135694155157
1,,0.1,10,1,True,0.8256791919245641
1,,0.1,2,2,True,0.8078118075727672
1,,0.1,5,2,True,0.8118711659044889
1,,0.1,10,2,True,0.7997363890282362
1,,0.1,2,5,True,0.8107710522976577
1,,0.1,5,5,True,0.8107710522976577
1,,0.1,10,5,True,0.8107710522976577
1,,0.1,2,10,True,0.7571450317786302
1,,0.1,5,10,True,0.7571450317786302
1,,0.1,10,10,True,0.7571450317786302
1,,0.25,2,1,True,0.8399536478182963
1,,0.25,5,1,True,0.8350984236619803
1,,0.25,10,1,True,0.8394221141126785
1,,0.25,2,2,True,0.8261701860113335
1,,0.25,5,2,True,0.8412681807544834
1,,0.25,10,2,True,0.8282570665860408
1,,0.25,2,5,True,0.8329600996744194
1,,0.25,5,5,True,0.8329600996744194
1,,0.25,10,5,True,0.8329600996744194
1,,0.25,2,10,True,0.7889416567041085
1,,0.25,5,10,True,0.7889416567041085
1,,0.25,10,10,True,0.7889416567041085
1,,0.5,2,1,True,0.8497905242168409
1,,0.5,5,1,True,0.8399448990627005
1,,0.5,10,1,True,0.8402667552238698
1,,0.5,2,2,True,0.836355388000336
1,,0.5,5,2,True,0.8399608284863463
1,,0.5,10,2,True,0.8393253737904244
1,,0.5,2,5,True,0.8305725414176207
1,,0.5,5,5,True,0.8305725414176207
1,,0.5,10,5,True,0.8305725414176207
1,,0.5,2,10,True,0.8140390391389134
1,,0.5,5,10,True,0.8140390391389134
1,,0.5,10,10,True,0.8140390391389134
2,5.0,sqrt,2,1,True,0.51805377558546
2,5.0,sqrt,5,1,True,0.5490726392732367
2,5.0,sqrt,10,1,True,0.5532485397187936
2,5.0,sqrt,2,2,True,0.5139571310738557
2,5.0,sqrt,5,2,True,0.5466164905364748
2,5.0,sqrt,10,2,True,0.5358336249904094
2,5.0,sqrt,2,5,True,0.537733597599169
2,5.0,sqrt,5,5,True,0.537733597599169
2,5.0,sqrt,10,5,True,0.537733597599169
2,5.0,sqrt,2,10,True,0.5320117976022715
2,5.0,sqrt,5,10,True,0.5320117976022715
2,5.0,sqrt,10,10,True,0.5320117976022715
2,5.0,log2,2,1,True,0.342926441466401
2,5.0,log2,5,1,True,0.3291185597329268
2,5.0,log2,10,1,True,0.331318463017897
2,5.0,log2,2,2,True,0.3347372443274465
2,5.0,log2,5,2,True,0.3305569546237263
2,5.0,log2,10,2,True,0.32851827072891693
2,5.0,log2,2,5,True,0.3303123385963759
2,5.0,log2,5,5,True,0.3303123385963759
2,5.0,log2,10,5,True,0.3303123385963759
2,5.0,log2,2,10,True,0.31830248190378063
2,5.0,log2,5,10,True,0.31830248190378063
2,5.0,log2,10,10,True,0.31830248190378063
2,5.0,0.1,2,1,True,0.6282128363223867
2,5.0,0.1,5,1,True,0.6297803100805118
2,5.0,0.1,10,1,True,0.6225944843763731
2,5.0,0.1,2,2,True,0.6373981984923458
2,5.0,0.1,5,2,True,0.6553678255799864
2,5.0,0.1,10,2,True,0.6224092413897584
2,5.0,0.1,2,5,True,0.6201677995110375
2,5.0,0.1,5,5,True,0.6201677995110375
2,5.0,0.1,10,5,True,0.6201677995110375
2,5.0,0.1,2,10,True,0.5968157770209239
2,5.0,0.1,5,10,True,0.5968157770209239
2,5.0,0.1,10,10,True,0.5968157770209239
2,5.0,0.25,2,1,True,0.7576005200736736
2,5.0,0.25,5,1,True,0.7644909901883907
2,5.0,0.25,10,1,True,0.7582579367698503
2,5.0,0.25,2,2,True,0.7532927162517344
2,5.0,0.25,5,2,True,0.766527803580544
2,5.0,0.25,10,2,True,0.752294054328902
2,5.0,0.25,2,5,True,0.7658293443952283
2,5.0,0.25,5,5,True,0.7658293443952283
2,5.0,0.25,10,5,True,0.7658293443952283
2,5.0,0.25,2,10,True,0.7220069078524834
2,5.0,0.25,5,10,True,0.7220069078524834
2,5.0,0.25,10,10,True,0.7220069078524834
2,5.0,0.5,2,1,True,0.7939592957373648
2,5.0,0.5,5,1,True,0.7902288822905403
2,5.0,0.5,10,1,True,0.7861108612062248
2,5.0,0.5,2,2,True,0.7929450293920244
2,5.0,0.5,5,2,True,0.7853870944192565
2,5.0,0.5,10,2,True,0.7857127377551574
2,5.0,0.5,2,5,True,0.7822955027602158
2,5.0,0.5,5,5,True,0.7822955027602158
2,5.0,0.5,10,5,True,0.7822955027602158
2,5.0,0.5,2,10,True,0.7326780480183972
2,5.0,0.5,5,10,True,0.7326780480183972
2,5.0,0.5,10,10,True,0.7326780480183972
2,10.0,sqrt,2,1,True,0.721302452649478
2,10.0,sqrt,5,1,True,0.7299056122785637
2,10.0,sqrt,10,1,True,0.7324292307037589
2,10.0,sqrt,2,2,True,0.7247449016591695
2,10.0,sqrt,5,2,True,0.7307178697461421
2,10.0,sqrt,10,2,True,0.7188230590569622
2,10.0,sqrt,2,5,True,0.700959008727437
2,10.0,sqrt,5,5,True,0.700959008727437
2,10.0,sqrt,10,5,True,0.700959008727437
