max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,avg_f1,std_f1,avg_fpr,std_fpr,avg_fnr,std_fnr
5.0,sqrt,2,1,False,0.6504794729225694,0.0632730141466724,0.04681388925591242,0.004758003448202831,0.33778387864718373,0.0563407474170148
5.0,sqrt,2,1,True,0.6273867225510102,0.05101965999194629,0.047230191578899725,0.0042020220310162145,0.3609804486403295,0.04889157707053729
5.0,sqrt,2,2,False,0.6544681468120438,0.054624995821668104,0.04656195439184756,0.0040156799124876135,0.3367266641225778,0.05031253318188312
5.0,sqrt,2,2,True,0.6204628319547913,0.06288985800403789,0.04826698834613967,0.004803991849333525,0.36329226467109016,0.05207964558859427
5.0,sqrt,2,5,False,0.6344495210057137,0.04795062280707972,0.048298677231091554,0.0032906802859691076,0.35138408796167653,0.04696173604073137
5.0,sqrt,2,5,True,0.6076217520143227,0.04953572070413227,0.04808735833113513,0.003689207643802892,0.372561341867181,0.03751009051431226
5.0,sqrt,2,10,False,0.64119809581713,0.06482284735038597,0.047322059007709735,0.004286135039783212,0.3483221240456737,0.05614274313453571
5.0,sqrt,2,10,True,0.58627257575931,0.03648632567429731,0.04943050310870291,0.0020338346875495897,0.3917616524261813,0.02265120895302282
5.0,sqrt,5,1,False,0.6455923094774821,0.04548130210725808,0.04729857309142888,0.002754776300566419,0.34607190221781237,0.038570437953537096
5.0,sqrt,5,1,True,0.6054980342270708,0.06231044833747992,0.04906380925851746,0.0054206156014662225,0.3738832709732743,0.047934503647954485
5.0,sqrt,5,2,False,0.6527858843771004,0.05210947955235524,0.04652854263559199,0.0024948190476741486,0.3389885688844814,0.04917443278136473
5.0,sqrt,5,2,True,0.6146314103726016,0.06379113438243579,0.048727729796673405,0.005423558566605077,0.3680743387047164,0.053485442600586665
5.0,sqrt,5,5,False,0.6344495210057137,0.04795062280707972,0.048298677231091554,0.0032906802859691076,0.35138408796167653,0.04696173604073137
5.0,sqrt,5,5,True,0.6076217520143227,0.04953572070413227,0.04808735833113513,0.003689207643802892,0.372561341867181,0.03751009051431226
5.0,sqrt,5,10,False,0.64119809581713,0.06482284735038597,0.047322059007709735,0.004286135039783212,0.3483221240456737,0.05614274313453571
5.0,sqrt,5,10,True,0.58627257575931,0.03648632567429731,0.04943050310870291,0.0020338346875495897,0.3917616524261813,0.02265120895302282
5.0,sqrt,10,1,False,0.6542405809205805,0.052582003262234146,0.046981949216000726,0.003143428968607009,0.33898745974517475,0.045945336124392444
5.0,sqrt,10,1,True,0.6033211841009585,0.05085212763059696,0.048721456065479715,0.0049648239165160195,0.38124974766428105,0.03447659895984782
5.0,sqrt,10,2,False,0.653344073381989,0.05400413600086227,0.04679925082038969,0.0030152446925468075,0.33417453457510826,0.05174476328748819
5.0,sqrt,10,2,True,0.6041019489521585,0.055338553714051525,0.04856501578766921,0.004708359942307409,0.3778990378151247,0.03354734930107654
5.0,sqrt,10,5,False,0.6344495210057137,0.04795062280707972,0.048298677231091554,0.0032906802859691076,0.35138408796167653,0.04696173604073137
5.0,sqrt,10,5,True,0.6076217520143227,0.04953572070413227,0.04808735833113513,0.003689207643802892,0.372561341867181,0.03751009051431226
5.0,sqrt,10,10,False,0.64119809581713,0.06482284735038597,0.047322059007709735,0.004286135039783212,0.3483221240456737,0.05614274313453571
5.0,sqrt,10,10,True,0.58627257575931,0.03648632567429731,0.04943050310870291,0.0020338346875495897,0.3917616524261813,0.02265120895302282
5.0,log2,2,1,False,0.43861562486006,0.04110548718444213,0.06339039269145479,0.0035560879297687913,0.5090793569783438,0.03583136225665466
5.0,log2,2,1,True,0.38325492508480025,0.04152662162623973,0.06462912701955725,0.003691977287628846,0.5485755559139733,0.038921854654425804
5.0,log2,2,2,False,0.42763834245767657,0.04726086250915091,0.06292528043435178,0.0038464386322882233,0.5121129403721717,0.04579697175995359
5.0,log2,2,2,True,0.3964676757762859,0.04319690293429693,0.06527890669726859,0.0017588644576280797,0.5410599369573624,0.029363928198709685
5.0,log2,2,5,False,0.44447812727786734,0.04119790642108088,0.06338316168979415,0.003569783833419428,0.5057444103514708,0.03316268575490706
5.0,log2,2,5,True,0.36484518170454383,0.03567914072247899,0.06681217636036593,0.0036358266274603666,0.5661482415099485,0.021727451805764023
5.0,log2,2,10,False,0.43840141979353103,0.0604345636051516,0.06278730771337662,0.004110889496857785,0.5022119019695832,0.05255735473107471
5.0,log2,2,10,True,0.3657619623231402,0.03474969117396019,0.0665401803141505,0.003587692668810611,0.5632774761469477,0.02588167028674219
5.0,log2,5,1,False,0.4329891595677965,0.05099795358599739,0.06308088480809812,0.0042676356698930565,0.5096044369708126,0.04393844033021215
5.0,log2,5,1,True,0.37354219987605897,0.04637879294438023,0.06631067346668312,0.003160744225676197,0.5588293838665579,0.031589392146548496
5.0,log2,5,2,False,0.424757320846415,0.06045066885686152,0.06360126573013807,0.004325096719534105,0.5149283056487176,0.050064242957804025
5.0,log2,5,2,True,0.3768875108435956,0.04532065205186762,0.0659421733391874,0.0022330432386036127,0.5545340570401758,0.031183267980575035
5.0,log2,5,5,False,0.44447812727786734,0.04119790642108088,0.06338316168979415,0.003569783833419428,0.5057444103514708,0.03316268575490706
5.0,log2,5,5,True,0.36484518170454383,0.03567914072247899,0.06681217636036593,0.0036358266274603666,0.5661482415099485,0.021727451805764023
5.0,log2,5,10,False,0.43840141979353103,0.0604345636051516,0.06278730771337662,0.004110889496857785,0.5022119019695832,0.05255735473107471
5.0,log2,5,10,True,0.3657619623231402,0.03474969117396019,0.0665401803141505,0.003587692668810611,0.5632774761469477,0.02588167028674219
5.0,log2,10,1,False,0.45202161543057395,0.03713599542811923,0.06177865227239596,0.004182145579472432,0.49408572948782165,0.03570609191337405
5.0,log2,10,1,True,0.3921848537997934,0.04919332136408209,0.06518462244302813,0.004165583990685117,0.5448252430798104,0.037453086342429755
5.0,log2,10,2,False,0.44914864670847565,0.03763535187017024,0.06240719082741264,0.004135838139875024,0.5004802873109506,0.029784392786806942
5.0,log2,10,2,True,0.3874742038721619,0.04884488818468614,0.06548403740655814,0.004044623368814298,0.550803134236272,0.03395902996083651
5.0,log2,10,5,False,0.44447812727786734,0.04119790642108088,0.06338316168979415,0.003569783833419428,0.5057444103514708,0.03316268575490706
5.0,log2,10,5,True,0.36484518170454383,0.03567914072247899,0.06681217636036593,0.0036358266274603666,0.5661482415099485,0.021727451805764023
5.0,log2,10,10,False,0.43840141979353103,0.0604345636051516,0.06278730771337662,0.004110889496857785,0.5022119019695832,0.05255735473107471
5.0,log2,10,10,True,0.3657619623231402,0.03474969117396019,0.0665401803141505,0.003587692668810611,0.5632774761469477,0.02588167028674219
5.0,0.1,2,1,False,0.7060022992299062,0.046062639960622,0.040548598463846584,0.004581708445855244,0.30129449587674695,0.041726678648869524
5.0,0.1,2,1,True,0.6782215588726209,0.05427550081058805,0.04196885700290853,0.006412543380271059,0.3240784091684185,0.04422961136581999
5.0,0.1,2,2,False,0.7193914518341568,0.04713113506413828,0.03988484402210015,0.004187576803531622,0.2866403425766363,0.04617401034185687
5.0,0.1,2,2,True,0.6745673172413781,0.054158425453052,0.042513275129055034,0.005902208110811238,0.32678846308965237,0.04415409687781452
5.0,0.1,2,5,False,0.7126872698280081,0.06778119707054302,0.04003354346990422,0.005788581043159094,0.29068242937182887,0.05781052124414323
5.0,0.1,2,5,True,0.6658863677069676,0.06265002318930787,0.04190290915124785,0.006136882053668912,0.3294254353306594,0.05453102223050549
5.0,0.1,2,10,False,0.6973903114868844,0.06810483971602876,0.04093820924907411,0.005208797894760442,0.305931928837163,0.06269812882217092
5.0,0.1,2,10,True,0.6437350380605188,0.061443371094151,0.04163482564988619,0.006030327864176107,0.348861770734376,0.04477361865201279
5.0,0.1,5,1,False,0.7085723193041648,0.041329750524876446,0.04020547422335628,0.005118310479094894,0.2993162955056895,0.0391764249302853
5.0,0.1,5,1,True,0.6758800909414736,0.04342760796498056,0.042506152794053356,0.004863749663888593,0.32541455232133204,0.03750709507481902
5.0,0.1,5,2,False,0.6994669529926003,0.03440882414905262,0.041209419771217386,0.004406392486077243,0.30556338175277536,0.03482245942428539
5.0,0.1,5,2,True,0.6808773829467285,0.049971012594900464,0.041740028697145104,0.0049813288679203494,0.3225485363497259,0.04026394508508221
5.0,0.1,5,5,False,0.7126872698280081,0.06778119707054302,0.04003354346990422,0.005788581043159094,0.29068242937182887,0.05781052124414323
5.0,0.1,5,5,True,0.6658863677069676,0.06265002318930787,0.04190290915124785,0.006136882053668912,0.3294254353306594,0.05453102223050549
5.0,0.1,5,10,False,0.6973903114868844,0.06810483971602876,0.04093820924907411,0.005208797894760442,0.305931928837163,0.06269812882217092
5.0,0.1,5,10,True,0.6437350380605188,0.061443371094151,0.04163482564988619,0.006030327864176107,0.348861770734376,0.04477361865201279
5.0,0.1,10,1,False,0.697461377558768,0.05509604639870464,0.04053601396276301,0.004975758289275351,0.3054021868400264,0.04757060103671481
5.0,0.1,10,1,True,0.6798856095691306,0.05475960485887628,0.0423947277491666,0.005370104663273055,0.31872760831296293,0.051755455609466
5.0,0.1,10,2,False,0.6950282035823677,0.06101396549731593,0.04091231147186346,0.006029273046865631,0.30757868787522286,0.05135608608423193
5.0,0.1,10,2,True,0.6809584213838921,0.05316967132312529,0.042175161448515366,0.005968962909935219,0.3175407723745743,0.05102140425081443
5.0,0.1,10,5,False,0.7126872698280081,0.06778119707054302,0.04003354346990422,0.005788581043159094,0.29068242937182887,0.05781052124414323
5.0,0.1,10,5,True,0.6658863677069676,0.06265002318930787,0.04190290915124785,0.006136882053668912,0.3294254353306594,0.05453102223050549
5.0,0.1,10,10,False,0.6973903114868844,0.06810483971602876,0.04093820924907411,0.005208797894760442,0.305931928837163,0.06269812882217092
5.0,0.1,10,10,True,0.6437350380605188,0.061443371094151,0.04163482564988619,0.006030327864176107,0.348861770734376,0.04477361865201279
5.0,0.25,2,1,False,0.7974519600814173,0.057658147345393346,0.030434668583360653,0.0049729931344734985,0.21138788540649028,0.05713253789242422
5.0,0.25,2,1,True,0.7926359524358524,0.05495839215051585,0.02864817539942253,0.003968367043228015,0.22103738445815474,0.05469184726269758
5.0,0.25,2,2,False,0.8071232463015067,0.04973030631005658,0.029335807065428116,0.004869125607308621,0.20656460826954876,0.05358998723936352
5.0,0.25,2,2,True,0.790614995969173,0.07181283218620514,0.028786099136046267,0.005253674927928458,0.21998642454849948,0.06965021987528518
5.0,0.25,2,5,False,0.8117145697202132,0.06025221868019719,0.028170179736300826,0.00633880159058227,0.20172691232160286,0.06529698033464343
5.0,0.25,2,5,True,0.7870055954488515,0.06709952594196394,0.02936319220380649,0.004966589375267419,0.22119662997454442,0.06446362951898892
5.0,0.25,2,10,False,0.799893917183208,0.063782249163574,0.028967039699521753,0.0059260185539357245,0.2104510324044168,0.06471531637526368
5.0,0.25,2,10,True,0.7826455644259782,0.06863293059681433,0.028615529875403833,0.005039315267810358,0.22892725338839326,0.06789711164801254
5.0,0.25,5,1,False,0.8034621026031011,0.0586534947647484,0.029706167661442257,0.005392208084516821,0.2099028823143426,0.06273743386224591
5.0,0.25,5,1,True,0.7971986140815466,0.061338093598392006,0.028537083665218087,0.004758543608612217,0.21687848176664487,0.05887657047299186
5.0,0.25,5,2,False,0.807424421235908,0.05818418188144369,0.028977103919967485,0.006195784462807218,0.2061660575449093,0.06379802317533993
5.0,0.25,5,2,True,0.789991996831215,0.06499953324374681,0.028674530534742997,0.005220164151125899,0.22145640384456539,0.06254577979217478
5.0,0.25,5,5,False,0.8117145697202132,0.06025221868019719,0.028170179736300826,0.00633880159058227,0.20172691232160286,0.06529698033464343
5.0,0.25,5,5,True,0.7870055954488515,0.06709952594196394,0.02936319220380649,0.004966589375267419,0.22119662997454442,0.06446362951898892
